Treatment,size
After spawn,4056.474
After spawn,6664.371
After spawn,6464.646
After spawn,8011.938
After spawn,2479.339
After spawn,5011.478
After spawn,2589.532
After spawn,3971.534
After spawn,4242.424
After spawn,4552.342
After spawn,3211.662
After spawn,13714.417
After spawn,2022.498
After spawn,6717.172
After spawn,6496.786
After spawn,12213.039
After spawn,2109.734
After spawn,33204.775
After spawn,29251.607
After spawn,29715.335
After spawn,27378.329
After spawn,9003.673
After spawn,11698.806
After spawn,2460.973
After spawn,4008.264
After spawn,6225.895
After spawn,30257.117
After spawn,4348.026
After spawn,15098.714
After spawn,19072.544
After spawn,6101.928
After spawn,8787.879
After spawn,11115.702
After spawn,6170.799
After spawn,6623.049
After spawn,25686.41
After spawn,23457.3
After spawn,8861.341
After spawn,7190.083
After spawn,3638.659
After spawn,8420.569
After spawn,3705.234
After spawn,6971.993
After spawn,18317.264
After spawn,30537.19
After spawn,3526.171
After spawn,3682.277
After spawn,6744.72
After spawn,9416.896
After spawn,17116.621
After spawn,34412.305
After spawn,4263.085
After spawn,3792.47
After spawn,16958.219
After spawn,1923.783
After spawn,2949.954
After spawn,9042.7
After spawn,21726.354
After spawn,4439.853
After spawn,5883.838
After spawn,4857.668
After spawn,5539.486
After spawn,7353.076
After spawn,37178.604
After spawn,1499.082
After spawn,13468.779
After spawn,33503.214
After spawn,19928.834
After spawn,10431.589
After spawn,20000
After spawn,23487.144
After spawn,6400.367
After spawn,22245.179
After spawn,10162.994
After spawn,13179.522
After spawn,10484.389
After spawn,24772.727
After spawn,10856.29
After spawn,19012.856
After spawn,33131.313
After spawn,36117.998
After spawn,8303.489
After spawn,7224.518
After spawn,9288.338
After spawn,11019.284
After spawn,3340.22
After spawn,610.652
After spawn,3363.177
After spawn,3521.579
After spawn,7685.95
After spawn,9279.155
After spawn,3078.512
After spawn,4189.624
After spawn,8310.376
After spawn,5381.084
After spawn,4513.315
After spawn,6274.105
After spawn,7224.518
After spawn,10787.42
After spawn,7736.455
After spawn,8427.456
After spawn,1336.088
After spawn,4306.703
After spawn,1251.148
After spawn,9258.494
After spawn,2199.265
After spawn,5176.768
After spawn,5328.283
After spawn,7718.09
After spawn,3691.46
After spawn,8126.722
After spawn,10445.363
After spawn,9428.375
After spawn,6248.852
After spawn,8388.43
After spawn,2341.598
After spawn,6753.903
After spawn,6285.583
After spawn,6441.69
After spawn,9947.199
After spawn,8415.978
After spawn,1464.646
After spawn,12139.578
After spawn,20872.36
After spawn,24357.208
After spawn,27438.017
After spawn,904.5
After spawn,16921.488
After spawn,14965.565
After spawn,7970.615
After spawn,7008.724
After spawn,9802.571
After spawn,16425.62
After spawn,1827.365
After spawn,10477.502
After spawn,30828.742
After spawn,17970.615
After spawn,40805.785
After spawn,9582.185
After spawn,2031.68
After spawn,6297.062
After spawn,23278.237
After spawn,15257.117
After spawn,2697.429
After spawn,801.194
After spawn,23601.928
After spawn,35020.661
